"key","context","en","hi","mwr","bgc"
"glossary.ai","GLOSSARY (not shown on site) - agreed transliteration of technical terms. Translators: use these spellings everywhere for consistency.","AI","एआई (AI)","",""
"glossary.computer","GLOSSARY - reference term","computer","कंप्यूटर (computer)","",""
"glossary.internet","GLOSSARY - reference term","internet","इंटरनेट (internet)","",""
"glossary.data","GLOSSARY - reference term","data","डेटा (data)","",""
"glossary.cloud","GLOSSARY - reference term","cloud","क्लाउड (cloud)","",""
"glossary.model","GLOSSARY - reference term","model","मॉडल (model)","",""
"glossary.notebook","GLOSSARY - reference term","Jupyter notebook","ज्यूपिटर नोटबुक (Jupyter Notebook)","",""
"a11y.skip","Hidden 'skip to content' link for screen readers","Skip to content","सामग्री पर जाएँ","",""
"a11y.textsize","Label next to the A-/A/A+ text size buttons","Text size","अक्षर का आकार","",""
"a11y.dec","Button label (for screen readers): make text smaller","Decrease text size","अक्षर छोटा करें","",""
"a11y.reset","Button label (for screen readers): reset text size","Reset text size","अक्षर सामान्य करें","",""
"a11y.inc","Button label (for screen readers): make text bigger","Increase text size","अक्षर बड़ा करें","",""
"a11y.language","Label next to the language buttons","Language","भाषा","",""
"a11y.backtop","Back-to-top button label (for screen readers)","Back to top","ऊपर जाएँ","",""
"nav.learn","Top menu link","Learn","सीखें","",""
"nav.impact","Top menu link","Impact","असर","",""
"nav.news","Top menu link","News","खबरें","",""
"nav.catalogue","Top menu link","Catalogue","कैटलॉग (Catalogue)","",""
"nav.original","Top menu link to the preserved original site","Original site","मूल साइट","",""
"site.tagline","Big line in the footer","AI for Our Village","हमारे गाँव के लिए एआई (AI)","",""
"site.taglineEn","Smaller line under the footer tagline","AI knowledge, owned by the village","एआई (AI) का ज्ञान, गाँव के अपने हाथ में","",""
"footer.rail","Footer credit line for the research framework","RAIL, Responsible Augmentation of Indigenous Languages","RAIL - स्वदेशी भाषाओं का ज़िम्मेदार संवर्धन (Responsible Augmentation of Indigenous Languages)","",""
"page.home","Browser tab title for the home page","Home","मुखपृष्ठ","",""
"page.catalogue","Browser tab title for the catalogue page","Catalogue","कैटलॉग (Catalogue)","",""
"page.learn","Browser tab title for the learn page","Learn","सीखें","",""
"page.impact","Browser tab title for the impact page","Impact","असर","",""
"page.news","Browser tab title for the news page","News","खबरें","",""
"page.about","Browser tab title for the about page","About","परिचय","",""
"page.404","Browser tab title for the not-found page","Not found","पृष्ठ नहीं मिला","",""
"home.hero.title","Main headline on the home page","AI for Our Village","हमारे गाँव के लिए एआई (AI)","",""
"home.hero.sub","Sentence under the home headline","Understand how computers and AI work: the benefits, the risks, and your rights.","समझें कि कंप्यूटर (computer) और एआई (AI) कैसे काम करते हैं - इनके फ़ायदे, ख़तरे और आपके अधिकार।","",""
"home.hero.subEn","Smaller sentence under the home subtitle","The knowledge, and the choice, stays with the village.","ज्ञान और चुनाव, दोनों गाँव के पास ही रहते हैं।","",""
"home.cta.learn","Main button on the home page","Start learning","सीखना शुरू करें","",""
"home.cta.browse","Secondary button on the home page","Browse all resources","सभी संसाधन देखें","",""
"home.sections.title","Heading above the four section cards","What you'll find here","यहाँ आपको क्या मिलेगा","",""
"home.featured.title","Heading above the featured booklets","Featured booklets","चुनिंदा पुस्तिकाएँ","",""
"home.section.learn.title","Home card title (links to Learn)","Understand Computers and AI","कंप्यूटर (computer) और एआई (AI) को समझें","",""
"home.section.learn.desc","Home card description (Learn)","How a computer works and how AI learns, every part, in depth.","कंप्यूटर (computer) कैसे काम करता है और एआई (AI) कैसे सीखता है - हर हिस्सा, गहराई से।","",""
"home.section.impact.title","Home card title (links to Impact)","AI's Impact: Benefits and Harms","एआई (AI) का असर: फ़ायदे और नुक़सान","",""
"home.section.impact.desc","Home card description (Impact)","How AI is changing the world, and the good and bad it brings.","एआई (AI) दुनिया को कैसे बदल रहा है, और इसके अच्छे व बुरे पहलू।","",""
"home.section.news.title","Home card title (links to News)","Critical and Participatory AI News","क्रिटिकल (Critical) और सहभागी एआई (AI) खबरें","",""
"home.section.news.desc","Home card description (News)","The latest on responsible and community-led AI from around the world.","दुनिया भर से ज़िम्मेदार और समुदाय-संचालित एआई (AI) की ताज़ा खबरें।","",""
"home.section.catalogue.title","Home card title (links to Catalogue)","All Resources (Catalogue)","सभी संसाधन (कैटलॉग / Catalogue)","",""
"home.section.catalogue.desc","Home card description (Catalogue)","Every booklet, notebook and questionnaire in one place.","हर पुस्तिका, नोटबुक (notebook) और प्रश्नावली एक ही जगह।","",""
"cat.title","Catalogue page heading","All Resources","सभी संसाधन","",""
"cat.sub","Catalogue page subtitle","Booklets, notebooks and questionnaires in one place.","पुस्तिकाएँ, नोटबुक (notebook) और प्रश्नावलियाँ एक ही जगह।","",""
"cat.filter.all","Filter chip showing every type","All","सभी","",""
"cat.empty","Message when a filter has no resources","No resources of this type yet.","इस तरह का कोई संसाधन अभी नहीं है।","",""
